,EmbryoID,Position,Membrane signal,Cytoplasmic signal
16,2,16,229.505,0.11200451
17,2,17,-20.666925,0.11200451
18,2,18,-6.9036317,0.11200451
19,2,19,-20.666925,0.11200451
20,2,20,337.4782,0.11200451
21,2,21,252.63821,0.11200451
22,2,22,67.08029,0.11200451
23,2,23,-0.15414482,0.11200451
24,2,24,298.13855,0.11200451
25,2,25,269.19778,0.11200451
26,2,26,-9.558553,0.11200451
27,2,27,310.96375,0.11200451
28,2,28,121.83185,0.11200451
29,2,29,88.11016,0.11200451
30,2,30,-20.666925,0.11200451
31,2,31,142.75005,0.11200451
32,2,32,268.8726,0.11200451
33,2,33,-11.349961,0.11200451
34,2,34,154.65,0.11200451
35,2,35,267.58047,0.11200451
36,2,36,-20.666925,0.11200451
37,2,37,237.61288,0.11200451
38,2,38,-20.666925,0.11200451
39,2,39,-20.666925,0.11200451
40,2,40,202.91367,0.11200451
41,2,41,-20.666927,0.11200451
42,2,42,-20.666925,0.11200451
43,2,43,-0.3742146,0.11200451
44,2,44,80.17231,0.11200451
45,2,45,-20.666927,0.11200451
46,2,46,-0.16188501,0.11200451
47,2,47,-20.666925,0.11200451
48,2,48,-20.666927,0.11200451
49,2,49,-0.25609437,0.11200451
50,2,50,372.6712,0.11200451
51,2,51,201.05212,0.11200451
52,2,52,190.34138,0.11200451
53,2,53,80.14817,0.11200451
54,2,54,-20.666925,0.11200451
55,2,55,240.10004,0.11200451
56,2,56,-20.666927,0.11200451
57,2,57,-20.666925,0.11200451
58,2,58,-2.1692379,0.11200451
59,2,59,174.81438,0.11200451
60,2,60,-20.666927,0.11200451
61,2,61,-20.666927,0.11200451
62,2,62,-20.666925,0.11200451
63,2,63,-20.666927,0.11200451
64,2,64,-20.666927,0.11200451
65,2,65,212.17583,0.11200451
66,2,66,-20.666927,0.11200451
67,2,67,-20.666925,0.11200451
68,2,68,-20.666927,0.11200451
69,2,69,203.08733,0.11200451
70,2,70,-20.666927,0.11200451
71,2,71,164.29758,0.11200451
72,2,72,-20.666927,0.11200451
73,2,73,-20.666925,0.11200451
74,2,74,262.86346,0.11200451
75,2,75,75.56434,0.11200451
76,2,76,-20.666925,0.11200451
77,2,77,100.271385,0.11200451
78,2,78,531.2278,0.11200451
79,2,79,478.44028,0.11200451
80,2,80,242.6271,0.11200451
81,2,81,341.75748,0.11200451
82,2,82,307.6189,0.11200451
83,2,83,158.3394,0.11200451
84,2,84,457.47687,0.11200451
85,2,85,322.91705,0.11200451
86,2,86,-20.666927,0.11200451
87,2,87,331.92386,0.11200451
88,2,88,-20.666927,0.11200451
89,2,89,462.35468,0.11200451
90,2,90,-20.666925,0.11200451
91,2,91,88.7137,0.11200451
92,2,92,339.25586,0.11200451
93,2,93,-20.666927,0.11200451
94,2,94,-20.666925,0.11200451
95,2,95,583.4427,0.11200451
96,2,96,59.64828,0.11200451
97,2,97,473.7464,0.11200451
98,2,98,448.0316,0.11200451
