,Unnamed: 0,EmbryoID,Position,Membrane signal,Cytoplasmic signal
91,91,0,91,-19.765484,-6.3675065
92,92,0,92,-19.765484,-6.3675065
93,93,0,93,-19.765484,-6.3675065
94,94,0,94,-19.765484,-6.3675065
95,95,0,95,64.22066,-6.3675065
96,96,0,96,-19.765484,-6.3675065
97,97,0,97,-19.765484,-6.3675065
98,98,0,98,-4.826979,-6.3675065
99,99,0,99,-19.765484,-6.3675065
100,0,1,0,242.51395,16.104496
101,1,1,1,382.88956,16.104496
102,2,1,2,174.6592,16.104496
103,3,1,3,807.93884,16.104496
104,4,1,4,838.4523,16.104496
105,5,1,5,812.16437,16.104496
106,6,1,6,109.03907,16.104496
107,7,1,7,-27.960756,16.104496
108,8,1,8,-7.329241,16.104496
109,9,1,9,746.6401,16.104496
110,10,1,10,705.3724,16.104496
111,11,1,11,383.66177,16.104496
112,12,1,12,498.84125,16.104496
113,13,1,13,1285.5696,16.104496
114,14,1,14,361.6606,16.104496
115,15,1,15,205.78668,16.104496
116,16,1,16,332.7258,16.104496
117,17,1,17,356.94156,16.104496
118,18,1,18,833.04333,16.104496
119,19,1,19,466.95422,16.104496
120,20,1,20,997.95685,16.104496
121,21,1,21,542.9142,16.104496
122,22,1,22,230.98929,16.104496
123,23,1,23,-27.579695,16.104496
124,24,1,24,344.93427,16.104496
125,25,1,25,357.3591,16.104496
126,26,1,26,454.42972,16.104496
127,27,1,27,-27.960756,16.104496
128,28,1,28,-27.960756,16.104496
129,29,1,29,-27.960756,16.104496
130,30,1,30,85.76709,16.104496
131,31,1,31,835.5844,16.104496
132,32,1,32,-27.96076,16.104496
133,33,1,33,-27.960756,16.104496
134,34,1,34,318.24115,16.104496
135,35,1,35,-27.96076,16.104496
136,36,1,36,-27.960756,16.104496
137,37,1,37,-27.96076,16.104496
138,38,1,38,-27.96076,16.104496
139,39,1,39,-27.960756,16.104496
140,40,1,40,-27.96076,16.104496
141,41,1,41,118.5703,16.104496
142,42,1,42,-27.96076,16.104496
143,43,1,43,-27.960756,16.104496
144,44,1,44,-3.2257845,16.104496
145,45,1,45,-27.960756,16.104496
146,46,1,46,361.39743,16.104496
147,47,1,47,-27.960756,16.104496
148,48,1,48,343.31253,16.104496
149,49,1,49,145.89998,16.104496
150,50,1,50,389.3131,16.104496
151,51,1,51,749.978,16.104496
152,52,1,52,370.77246,16.104496
153,53,1,53,-27.960756,16.104496
154,54,1,54,-27.96076,16.104496
155,55,1,55,-27.96076,16.104496
156,56,1,56,215.89969,16.104496
157,57,1,57,-27.96076,16.104496
158,58,1,58,471.87613,16.104496
159,59,1,59,-27.96076,16.104496
