,EmbryoID,Position,Membrane signal,Cytoplasmic signal
52,2,52,190.34361,0.11200469
53,2,53,80.149124,0.11200469
54,2,54,-20.66717,0.11200469
55,2,55,240.10287,0.11200469
56,2,56,-20.66717,0.11200469
57,2,57,-20.66717,0.11200469
58,2,58,-2.169263,0.11200469
59,2,59,174.81647,0.11200469
60,2,60,-20.667171,0.11200469
61,2,61,-20.667171,0.11200469
62,2,62,-20.66717,0.11200469
63,2,63,-20.667171,0.11200469
64,2,64,-20.667171,0.11200469
65,2,65,212.17836,0.11200469
66,2,66,-20.66717,0.11200469
67,2,67,-20.667171,0.11200469
68,2,68,-20.667171,0.11200469
69,2,69,203.08968,0.11200469
70,2,70,-20.667171,0.11200469
71,2,71,164.29955,0.11200469
72,2,72,-20.667171,0.11200469
73,2,73,-20.66717,0.11200469
74,2,74,262.86655,0.11200469
75,2,75,75.56523,0.11200469
76,2,76,-20.66717,0.11200469
77,2,77,100.27256,0.11200469
78,2,78,531.23413,0.11200469
79,2,79,478.44592,0.11200469
80,2,80,242.62999,0.11200469
81,2,81,341.7615,0.11200469
82,2,82,307.62256,0.11200469
83,2,83,158.34126,0.11200469
84,2,84,457.48227,0.11200469
85,2,85,322.9208,0.11200469
86,2,86,-20.667171,0.11200469
87,2,87,331.92776,0.11200469
88,2,88,-20.667171,0.11200469
89,2,89,462.36014,0.11200469
90,2,90,-20.66717,0.11200469
91,2,91,88.71472,0.11200469
92,2,92,339.25983,0.11200469
93,2,93,-20.667171,0.11200469
94,2,94,-20.66717,0.11200469
95,2,95,583.4496,0.11200469
96,2,96,59.64901,0.11200469
97,2,97,473.752,0.11200469
98,2,98,448.03687,0.11200469
99,2,99,164.5292,0.11200469
0,3,0,-17.13505,-5.5169797
1,3,1,-17.135052,-5.5169797
2,3,2,-17.135052,-5.5169797
3,3,3,-17.13505,-5.5169797
4,3,4,-17.13505,-5.5169797
5,3,5,-17.135052,-5.5169797
6,3,6,319.0071,-5.5169797
7,3,7,-17.13505,-5.5169797
8,3,8,-17.135052,-5.5169797
9,3,9,-17.135052,-5.5169797
10,3,10,-17.135052,-5.5169797
11,3,11,-17.135052,-5.5169797
12,3,12,-17.13505,-5.5169797
13,3,13,-17.13505,-5.5169797
14,3,14,-17.13505,-5.5169797
15,3,15,-17.135052,-5.5169797
16,3,16,70.11852,-5.5169797
17,3,17,-17.135052,-5.5169797
18,3,18,-17.13505,-5.5169797
19,3,19,-17.13505,-5.5169797
20,3,20,-17.135052,-5.5169797
21,3,21,-17.13505,-5.5169797
22,3,22,-17.13505,-5.5169797
23,3,23,-17.13505,-5.5169797
24,3,24,-17.13505,-5.5169797
25,3,25,-17.135052,-5.5169797
26,3,26,-17.13505,-5.5169797
27,3,27,-17.135052,-5.5169797
28,3,28,-17.13505,-5.5169797
29,3,29,-17.13505,-5.5169797
30,3,30,-17.13505,-5.5169797
31,3,31,-17.13505,-5.5169797
32,3,32,-17.135052,-5.5169797
33,3,33,-17.135052,-5.5169797
34,3,34,-17.135052,-5.5169797
35,3,35,-17.135052,-5.5169797
36,3,36,-17.13505,-5.5169797
37,3,37,-17.13505,-5.5169797
38,3,38,-17.135052,-5.5169797
39,3,39,-17.13505,-5.5169797
40,3,40,-17.13505,-5.5169797
41,3,41,-17.13505,-5.5169797
42,3,42,-17.13505,-5.5169797
43,3,43,-17.135052,-5.5169797
44,3,44,-17.13505,-5.5169797
45,3,45,-17.13505,-5.5169797
46,3,46,-17.135052,-5.5169797
47,3,47,-17.135052,-5.5169797
48,3,48,-17.13505,-5.5169797
49,3,49,-17.135052,-5.5169797
50,3,50,-17.13505,-5.5169797
51,3,51,-17.135052,-5.5169797
52,3,52,-17.13505,-5.5169797
53,3,53,-17.135052,-5.5169797
54,3,54,-17.13505,-5.5169797
55,3,55,99.41976,-5.5169797
56,3,56,-17.13505,-5.5169797
57,3,57,-17.13505,-5.5169797
58,3,58,-17.135052,-5.5169797
59,3,59,-17.13505,-5.5169797
60,3,60,-17.13505,-5.5169797
61,3,61,-17.135052,-5.5169797
62,3,62,-17.13505,-5.5169797
63,3,63,-17.135052,-5.5169797
64,3,64,-17.135052,-5.5169797
65,3,65,-17.13505,-5.5169797
66,3,66,-17.13505,-5.5169797
67,3,67,-17.13505,-5.5169797
68,3,68,-17.13505,-5.5169797
69,3,69,-17.135052,-5.5169797
70,3,70,-17.13505,-5.5169797
71,3,71,-17.13505,-5.5169797
72,3,72,-17.13505,-5.5169797
73,3,73,-17.135052,-5.5169797
74,3,74,-17.135052,-5.5169797
75,3,75,-17.135052,-5.5169797
76,3,76,-17.13505,-5.5169797
77,3,77,-17.13505,-5.5169797
78,3,78,-17.13505,-5.5169797
79,3,79,-17.13505,-5.5169797
80,3,80,-17.13505,-5.5169797
81,3,81,-17.13505,-5.5169797
82,3,82,-17.135052,-5.5169797
83,3,83,-17.135052,-5.5169797
84,3,84,-17.13505,-5.5169797
85,3,85,-17.13505,-5.5169797
86,3,86,130.20009,-5.5169797
87,3,87,81.18637,-5.5169797
88,3,88,-17.13505,-5.5169797
89,3,89,-17.135052,-5.5169797
90,3,90,-17.135052,-5.5169797
91,3,91,-17.13505,-5.5169797
92,3,92,-17.13505,-5.5169797
93,3,93,-17.135052,-5.5169797
94,3,94,-17.13505,-5.5169797
95,3,95,-17.135052,-5.5169797
96,3,96,-17.13505,-5.5169797
97,3,97,-17.13505,-5.5169797
98,3,98,-17.13505,-5.5169797
99,3,99,-17.135052,-5.5169797
0,4,0,3.7389421,96.14681
1,4,1,-30.126976,96.14681
2,4,2,-11.299369,96.14681
3,4,3,391.03522,96.14681
4,4,4,24.673037,96.14681
5,4,5,368.21414,96.14681
6,4,6,130.93481,96.14681
7,4,7,204.62244,96.14681
8,4,8,165.73175,96.14681
9,4,9,39.66717,96.14681
10,4,10,-30.131401,96.14681
11,4,11,-30.131355,96.14681
12,4,12,74.52556,96.14681
13,4,13,392.48065,96.14681
14,4,14,171.39868,96.14681
15,4,15,662.0415,96.14681
16,4,16,470.3995,96.14681
17,4,17,465.27444,96.14681
18,4,18,170.30792,96.14681
19,4,19,-30.128971,96.14681
20,4,20,-0.63032496,96.14681
21,4,21,523.71185,96.14681
